Nida,Brzegi,112
Rgilewka,Grzegorzew,123
Prudnik,Prudnik,116
Wrześnica,Samarzewo,109
Nysa Łużycka,Przewóz,79
Wisła,Goczałkowice,159
Wel,Lidzbark,50
Bóbr,Bukówka,82
Oleśnica,Niechmirów,86
Wisła,Sierosławice,232
Odra,Chałupki,144
Warta,Bobry,87
Soła,Cięcina,113
Nysa Łużycka,Gubin,30
Bug,Kryłów,75
Narew,Nowogród,57
Skora,Zagrodno,94
Czarna Wisełka,Wisła Czarne,87
Bóbr,Jelenia Góra,75
Flinta,Ryczywół,74
Czarna Woda,Rzeszotary,188
Barycz,Łąki,176
Prosna,Piwonice,107
Koszarawa,Pewel Mała,108
Bug,Frankopol,62
Mszanka,Mszana Dolna,90
Woda Ujsolska,Ujsoły,82
Wilczka,Wilkanów,58
Kłodnica,Gliwice,115
Prosna,Gorzów Śląski,172
Odra,Krzyżanowice,147
Kamienna,Kunów,76
Grabia,Łask,120
Bóbr,Wojanów,98
Bóbr,Dąbrowa Bolesławiecka,135
Strzegomka,Bogdaszowice,165
Pasłęka,Kalisty,150
Narew,Narew,76
Drawa,Drawiny,46
Noteć,Krzyż,23
Omulew,Białobrzeg Bliższy,42
Raba,Rabka 2,68
Wiar,Krówniki,56
Biała Łada,Biłgoraj,71
Lubieńka,Lubień,76
Nysa Kłodzka,Bardo Śląskie,111
Noteć,Santok,25
Złoty Potok,Jarnołtówek,75
Bóbr,Błażkowa,80
Bauda,Nowe Sadłuki,86
Osława,Szczawne,43
Biała,Dobra,92
Widawa,Krzyżanowice,156
Czarna,Sochonie,66
Wisła,Bieruń Nowy,132
Bug,Dorohusk,59
Biała Wisełka,Wisła Czarne,71
Radew,Białogórzyno,99
Kamienic,Łabowa,52
Czerna Wielka,Żagań,46
Podgórna,Podgórzyn,89
Drwęca,Elgiszewo,81
Ołobok,Ołobok,54
Biebrza,Sztabin,88
Świder,Wólka Mlądzka,68
Bren,Wampierzów,49
Wel,Kuligi (Nowe Miasto),105
Kamienna,Piechowice,80
Biała Lądecka,Żelazno,89
Wisła,Wisła Czarne,68
jez. Wielimskie,Wielimie,-46
Czarna Przemsza,Przeczyce,56
Skawica,Skawica Dolna,89
Wielki Rogoźnik,Ludźmierz,192
